iteration,level_names,strategy_name,n_ants,best_prompt,best_fitness,worst_prompt,worst_fitness,best_faith,best_relevance,best_rogue
1,RoleInstruction TaskInstruction Input,Rank,4,Behave like a professional at condensing texts. Summarize the input text. The text provided below: {INPUT},0.424,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The following passage: {INPUT},0.323,0.389 ± 0.230,0.693 ± 0.071,0.305 ± 0.102
2,RoleInstruction TaskInstruction Input,Rank,4,Behave like a professional at condensing texts. Create a summary of the text below. The following content: {INPUT},0.429,Behave like an expert in creating clear and concise summaries. Produce a concise summary of the content. The provided text: {INPUT},0.335,0.390 ± 0.228,0.681 ± 0.121,0.326 ± 0.105
3,RoleInstruction TaskInstruction Input,Rank,4,Assume the perspective of a professional text summarizer. Produce a short summary of the provided text. The content below: {INPUT},0.433,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The content is: {INPUT},0.417,0.371 ± 0.228,0.724 ± 0.088,0.341 ± 0.102
0,RoleInstruction TaskInstruction Input,MMAS,4,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The document below is: {INPUT},0.409,Act as an expert in extracting key points from texts. Summarize this text. The provided text: {INPUT},0.348,0.377 ± 0.234,0.662 ± 0.077,0.292 ± 0.103
1,RoleInstruction TaskInstruction Input,MMAS,4,Act as an expert in extracting key points from texts. Reduce the following text to a summary. The content below: {INPUT},0.427,Operate as a professional specialized in text summaries. Produce a concise summary of the content. The following text: {INPUT},0.358,0.391 ± 0.247,0.680 ± 0.097,0.319 ± 0.156
2,RoleInstruction TaskInstruction Input,MMAS,4,Act as an analyst skilled in summarizing complex texts. Write a concise overview of the text. The following document: {INPUT},0.436,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The following passage: {INPUT},0.347,0.421 ± 0.246,0.675 ± 0.122,0.301 ± 0.155
3,RoleInstruction TaskInstruction Input,MMAS,4,Assume the perspective of a professional text summarizer. Produce a short summary of the provided text. The content below: {INPUT},0.428,Act as an expert in extracting key points from texts. Produce a concise summary of the content. The input text: {INPUT},0.363,0.388 ± 0.236,0.677 ± 0.097,0.328 ± 0.084
0,RoleInstruction TaskInstruction Input,BWAS,4,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The document below is: {INPUT},0.409,Act as an expert in extracting key points from texts. Produce a short summary of the provided text. the text: {INPUT},0.358,0.365 ± 0.225,0.683 ± 0.116,0.299 ± 0.145
1,RoleInstruction TaskInstruction Input,BWAS,4,Act as an expert in extracting key points from texts. Reduce the following text to a summary. The content below: {INPUT},0.429,Operate as a professional specialized in text summaries. Produce a concise summary of the content. The following text: {INPUT},0.360,0.393 ± 0.246,0.669 ± 0.101,0.330 ± 0.106
2,RoleInstruction TaskInstruction Input,BWAS,4,Act as an expert at summarizing written information. Write a concise overview of the text. The following document: {INPUT},0.413,Assume you are a professional in textual synthesis. Reduce the following text to a summary. The following passage: {INPUT},0.316,0.368 ± 0.217,0.686 ± 0.094,0.308 ± 0.113
3,RoleInstruction TaskInstruction Input,BWAS,4,Assume the perspective of a professional text summarizer. Produce a short summary of the provided text. The content is: {INPUT},0.434,Work as a consultant experienced in summarizing texts. Produce a concise summary of the content. The provided text: {INPUT},0.360,0.414 ± 0.242,0.669 ± 0.106,0.310 ± 0.096
0,TaskInstruction FidelityConstraint Input,Basic ACO,4,Write a concise overview of the text. Do not modify the factual content. The document below is: {INPUT},0.398,Generate a brief overview of the following text. Write a clear and curt summary The provided text: {INPUT},0.330,0.362 ± 0.232,0.652 ± 0.097,0.289 ± 0.086
1,TaskInstruction FidelityConstraint Input,Basic ACO,4,Produce a concise summary of the content. Preserve the original meaning. The provided text: {INPUT},0.377,Generate a concise summary of the given text. Do not modify the factual content. The following passage: {INPUT},0.297,0.340 ± 0.263,0.609 ± 0.210,0.284 ± 0.160
2,TaskInstruction FidelityConstraint Input,Basic ACO,4,Produce a concise summary of the content. Preserve the original meaning. The input text below: {INPUT},0.436,Generate a brief overview of the following text. Write a clear and curt summary The following text: {INPUT},0.294,0.384 ± 0.206,0.704 ± 0.070,0.343 ± 0.085
3,TaskInstruction FidelityConstraint Input,Basic ACO,4,Write a concise overview of the text. Avoid speculation or interpretation. The provided text: {INPUT},0.362,Generate a brief overview of the following text. Write a clear and curt summary The following passage: {INPUT},0.305,0.312 ± 0.251,0.606 ± 0.213,0.281 ± 0.153
0,TaskInstruction FidelityConstraint Input,EAS,4,Generate a brief overview of the following text. Keep all information faithful to the text. the text: {INPUT},0.433,Generate a brief overview of the following text. Write a clear and curt summary The provided text: {INPUT},0.329,0.407 ± 0.248,0.677 ± 0.064,0.314 ± 0.107
1,TaskInstruction FidelityConstraint Input,EAS,4,Generate a brief overview of the following text. Keep all information faithful to the text. the text: {INPUT},0.436,Generate a brief overview of the following text. Write a clear and curt summary The following text: {INPUT},0.289,0.411 ± 0.243,0.680 ± 0.072,0.316 ± 0.108
2,TaskInstruction FidelityConstraint Input,EAS,4,Generate a brief overview of the following text. Ensure factual consistency with the original text. The following document: {INPUT},0.425,Summarize the input text. Avoid speculation or interpretation. The provided text: {INPUT},0.358,0.412 ± 0.256,0.650 ± 0.100,0.298 ± 0.124
3,TaskInstruction FidelityConstraint Input,EAS,4,Generate a brief overview of the following text. Avoid adding external knowledge. The content below: {INPUT},0.422,Generate a brief overview of the following text. Write a clear and curt summary The following text: {INPUT},0.301,0.380 ± 0.237,0.678 ± 0.110,0.324 ± 0.094
0,TaskInstruction FidelityConstraint Input,Rank,4,Write a concise overview of the text. Do not modify the factual content. The document below is: {INPUT},0.396,Generate a brief overview of the following text. Write a clear and curt summary The provided text: {INPUT},0.326,0.366 ± 0.228,0.654 ± 0.104,0.272 ± 0.094
1,TaskInstruction FidelityConstraint Input,Rank,4,Provide a summary of the text below. Remain faithful to the source content. The text provided below: {INPUT},0.443,Generate a concise summary of the given text. Do not modify the factual content. The following passage: {INPUT},0.290,0.403 ± 0.242,0.702 ± 0.075,0.337 ± 0.109
2,TaskInstruction FidelityConstraint Input,Rank,4,Provide a summary of the text below. Avoid reinterpretation. The following content: {INPUT},0.417,Write a short summary of the text. Avoid speculation or interpretation. The provided text: {INPUT},0.357,0.397 ± 0.229,0.658 ± 0.085,0.288 ± 0.104
3,TaskInstruction FidelityConstraint Input,Rank,4,Write a concise overview of the text. Remain consistent with the source. The text provided below: {INPUT},0.441,Reduce the following text to a summary. Keep all information faithful to the text. the text: {INPUT},0.349,0.404 ± 0.242,0.698 ± 0.085,0.330 ± 0.104
0,TaskInstruction FidelityConstraint Input,MMAS,4,Write a concise overview of the text. Do not modify the factual content. The document below is: {INPUT},0.427,Generate a brief overview of the following text. Write a clear and curt summary The provided text: {INPUT},0.327,0.389 ± 0.232,0.690 ± 0.102,0.316 ± 0.086
1,TaskInstruction FidelityConstraint Input,MMAS,4,Provide a summary of the text below. Remain faithful to the source content. The text provided below: {INPUT},0.431,Create a brief summary of the following document. Avoid speculation or interpretation. The following text: {INPUT},0.287,0.401 ± 0.238,0.673 ± 0.100,0.321 ± 0.098
2,TaskInstruction FidelityConstraint Input,MMAS,4,Condense the text below into a summary. Stay strictly grounded in the text. The following document: {INPUT},0.426,Condense the text below into a summary. Avoid speculation or interpretation. The provided text: {INPUT},0.349,0.392 ± 0.235,0.681 ± 0.109,0.310 ± 0.123
3,TaskInstruction FidelityConstraint Input,MMAS,4,Create a summary of the text below. Avoid speculation or interpretation. The text provided below: {INPUT},0.419,Generate a concise summary of the given text. Write a clear and curt summary The input text: {INPUT},0.322,0.397 ± 0.242,0.668 ± 0.117,0.290 ± 0.104
0,TaskInstruction FidelityConstraint Input,BWAS,4,Write a concise overview of the text. Do not modify the factual content. The document below is: {INPUT},0.399,Generate a brief overview of the following text. Write a clear and curt summary The provided text: {INPUT},0.337,0.371 ± 0.231,0.658 ± 0.110,0.275 ± 0.104
1,TaskInstruction FidelityConstraint Input,BWAS,4,Generate a brief overview of the following text. Do not modify the factual content. The content below: {INPUT},0.430,Create a brief summary of the following document. Avoid speculation or interpretation. The following text: {INPUT},0.298,0.386 ± 0.232,0.692 ± 0.089,0.328 ± 0.096
2,TaskInstruction FidelityConstraint Input,BWAS,4,Create a concise textual summary. Stay strictly grounded in the text. The following document: {INPUT},0.424,Write a concise overview of the text. Do not modify the factual content. The following passage: {INPUT},0.291,0.383 ± 0.221,0.682 ± 0.130,0.321 ± 0.137
3,TaskInstruction FidelityConstraint Input,BWAS,4,Create a summary of the text below. Do not deviate from the source meaning. The document provided: {INPUT},0.437,Create a summary of the text below. Avoid speculation or interpretation. The provided text: {INPUT},0.364,0.393 ± 0.242,0.708 ± 0.076,0.330 ± 0.102
0,TaskInstruction SalienceGuidance Input,Basic ACO,4,Write a concise overview of the text. Focus on the most significant points. The document below is: {INPUT},0.426,Generate a brief overview of the following text. Focus on key pointsy The provided text: {INPUT},0.318,0.383 ± 0.220,0.691 ± 0.078,0.320 ± 0.097
1,TaskInstruction SalienceGuidance Input,Basic ACO,4,Generate a brief overview of the following text. Focus on key pointsy The following text: {INPUT},0.351,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.311,0.312 ± 0.242,0.572 ± 0.223,0.269 ± 0.134
2,TaskInstruction SalienceGuidance Input,Basic ACO,4,Provide a summary of the text below. Highlight the key concepts. The following content: {INPUT},0.437,Create a brief summary of the following document. Highlight the main arguments. The provided text: {INPUT},0.330,0.406 ± 0.233,0.701 ± 0.097,0.313 ± 0.145
3,TaskInstruction SalienceGuidance Input,Basic ACO,4,Reduce the following text to a summary. Capture the essential ideas. the text: {INPUT},0.359,Generate a brief overview of the following text. Focus on key pointsy The following passage: {INPUT},0.331,0.327 ± 0.258,0.578 ± 0.214,0.266 ± 0.134
0,TaskInstruction SalienceGuidance Input,EAS,4,Write a concise overview of the text. Focus on the most significant points. The document below is: {INPUT},0.445,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.320,0.407 ± 0.241,0.705 ± 0.076,0.335 ± 0.090
1,TaskInstruction SalienceGuidance Input,EAS,4,Write a concise overview of the text. Focus on the most significant points. The following content: {INPUT},0.425,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.322,0.397 ± 0.235,0.687 ± 0.114,0.298 ± 0.107
2,TaskInstruction SalienceGuidance Input,EAS,4,Write a concise overview of the text. Focus on the most significant points. The following content: {INPUT},0.433,Create a brief summary of the following document. Highlight the main arguments. The provided text: {INPUT},0.317,0.395 ± 0.225,0.687 ± 0.104,0.327 ± 0.107
3,TaskInstruction SalienceGuidance Input,EAS,4,Write a concise overview of the text. Capture the core concepts. The input text: {INPUT},0.365,Generate a brief overview of the following text. Focus on key points The following passage: {INPUT},0.324,0.328 ± 0.259,0.614 ± 0.221,0.259 ± 0.145
0,TaskInstruction SalienceGuidance Input,Rank,4,Write a concise overview of the text. Focus on the most significant points. The document below is: {INPUT},0.417,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.326,0.364 ± 0.220,0.701 ± 0.111,0.316 ± 0.110
1,TaskInstruction SalienceGuidance Input,Rank,4,Write a summary of the content below. Prioritize the main points. The text provided below: {INPUT},0.412,Generate a brief overview of the following text. Focus on key points The following text: {INPUT},0.355,0.398 ± 0.236,0.644 ± 0.103,0.282 ± 0.107
2,TaskInstruction SalienceGuidance Input,Rank,4,Create a summary of the text below. Highlight the most important information. The following document: {INPUT},0.421,Write a short summary of the text. Highlight the main arguments. The provided text: {INPUT},0.350,0.399 ± 0.221,0.680 ± 0.105,0.284 ± 0.101
3,TaskInstruction SalienceGuidance Input,Rank,4,Write a concise overview of the text. Highlight the main arguments. The input text: {INPUT},0.371,Reduce the following text to a summary. Capture the essential ideas. the text: {INPUT},0.345,0.325 ± 0.250,0.611 ± 0.217,0.289 ± 0.148
0,TaskInstruction SalienceGuidance Input,MMAS,4,Write a concise overview of the text. Focus on the most significant points. The document below is: {INPUT},0.430,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.330,0.387 ± 0.214,0.688 ± 0.105,0.330 ± 0.136
1,TaskInstruction SalienceGuidance Input,MMAS,4,Generate a brief overview of the following text. Focus on the most significant points. The content below: {INPUT},0.425,Create a brief summary of the following document. Highlight the main arguments. The following text: {INPUT},0.325,0.396 ± 0.241,0.686 ± 0.114,0.301 ± 0.109
2,TaskInstruction SalienceGuidance Input,MMAS,4,Condense the text below into a summary. Highlight the most important information. The following document: {INPUT},0.423,Write a concise overview of the text. Focus on the most significant points. The following passage: {INPUT},0.328,0.390 ± 0.235,0.677 ± 0.123,0.309 ± 0.112
3,TaskInstruction SalienceGuidance Input,MMAS,4,Reduce the following text to a summary. Capture the essential ideas. The content below: {INPUT},0.431,Generate a brief overview of the following text. Highlight the main arguments. The input text: {INPUT},0.368,0.422 ± 0.257,0.656 ± 0.129,0.298 ± 0.104
0,TaskInstruction SalienceGuidance Input,BWAS,4,Write a concise overview of the text. Focus on the most significant points. The document below is: {INPUT},0.429,Produce a concise summary of the content. Emphasize the main content. The provided text: {INPUT},0.337,0.383 ± 0.232,0.709 ± 0.120,0.317 ± 0.151
1,TaskInstruction SalienceGuidance Input,BWAS,4,Generate a concise summary of the given text. Focus on the most significant points. The content below: {INPUT},0.429,Create a brief summary of the following document. Highlight the main arguments. The following text: {INPUT},0.324,0.390 ± 0.242,0.688 ± 0.094,0.323 ± 0.091
2,TaskInstruction SalienceGuidance Input,BWAS,4,Create a concise textual summary. Highlight the most important information. The following document: {INPUT},0.427,Write a concise overview of the text. Focus on the most significant points. The following passage: {INPUT},0.330,0.411 ± 0.234,0.674 ± 0.092,0.289 ± 0.110
3,TaskInstruction SalienceGuidance Input,BWAS,4,Create a summary of the text below. Emphasize the primary themes. The document provided: {INPUT},0.431,Generate a brief overview of the following text. Focus on key points The input text: {INPUT},0.366,0.393 ± 0.235,0.693 ± 0.103,0.320 ± 0.103
0,TaskInstruction StyleConstraint Input,Basic ACO,4,Write a concise overview of the text. Use formal and clear language. The document below is: {INPUT},0.410,Generate a brief overview of the following text. Use clear neutral phrasing. the text: {INPUT},0.348,0.388 ± 0.235,0.654 ± 0.111,0.286 ± 0.087
1,TaskInstruction StyleConstraint Input,Basic ACO,4,Produce a concise summary of the content. Use a clear neutral style. The provided text: {INPUT},0.357,Generate a concise summary of the given text. Use formal and clear language. The following passage: {INPUT},0.328,0.312 ± 0.238,0.600 ± 0.219,0.270 ± 0.150
2,TaskInstruction StyleConstraint Input,Basic ACO,4,Produce a concise summary of the content. Use a clear neutral style. The input text below: {INPUT},0.434,Create a brief summary of the following document. Maintain a professional tone. The provided text: {INPUT},0.345,0.394 ± 0.228,0.685 ± 0.087,0.333 ± 0.105
3,TaskInstruction StyleConstraint Input,Basic ACO,4,Write a concise overview of the text. Maintain a professional tone. The provided text: {INPUT},0.414,"Generate a brief overview of the following text. Use a clear, concise, and neutral style. The following passage: {INPUT}",0.312,0.387 ± 0.270,0.654 ± 0.171,0.299 ± 0.126
0,TaskInstruction StyleConstraint Input,EAS,4,Write a concise overview of the text. Use formal and clear language. The document below is: {INPUT},0.432,"Generate a brief overview of the following text. Use a clear, concise, and neutral style. The provided text: {INPUT}",0.342,0.385 ± 0.236,0.709 ± 0.083,0.327 ± 0.128
1,TaskInstruction StyleConstraint Input,EAS,4,Write a concise overview of the text. Use formal and clear language. The following content: {INPUT},0.436,Produce a concise summary of the content. Use a clear neutral style. The provided text: {INPUT},0.354,0.406 ± 0.228,0.696 ± 0.094,0.313 ± 0.145
2,TaskInstruction StyleConstraint Input,EAS,4,Write a summary of the content below. Use straightforward and neutral wording. The following content: {INPUT},0.427,"Generate a brief overview of the following text. Use a clear, concise, and neutral style. The following text: {INPUT}",0.359,0.399 ± 0.250,0.679 ± 0.118,0.307 ± 0.146
3,TaskInstruction StyleConstraint Input,EAS,4,Write a concise overview of the text. Maintain a clear and neutral tone. The input text: {INPUT},0.388,"Generate a brief overview of the following text. Use a clear, concise, and neutral style. The following passage: {INPUT}",0.330,0.356 ± 0.263,0.631 ± 0.203,0.278 ± 0.129
0,TaskInstruction StyleConstraint Input,Rank,4,Write a concise overview of the text. Use formal and clear language. The document below is: {INPUT},0.417,Generate a brief overview of the following text. Use clear neutral phrasing. the text: {INPUT},0.349,0.399 ± 0.245,0.659 ± 0.095,0.286 ± 0.110
1,TaskInstruction StyleConstraint Input,Rank,4,Produce a concise summary of the content. Maintain a neutral descriptive tone. The document below is: {INPUT},0.408,Write a concise overview of the text. Use formal and clear language. The following passage: {INPUT},0.340,0.390 ± 0.235,0.639 ± 0.109,0.284 ± 0.099
2,TaskInstruction StyleConstraint Input,Rank,4,Create a summary of the text below. Maintain a clear and neutral tone. The following document: {INPUT},0.442,Write a short summary of the text. Maintain a professional tone. The provided text: {INPUT},0.359,0.402 ± 0.241,0.705 ± 0.093,0.334 ± 0.105
3,TaskInstruction StyleConstraint Input,Rank,4,Reduce the following text to a summary. Use clear neutral phrasing. The content below: {INPUT},0.432,"Write a summary of the content below. Use a clear, concise, and neutral style. The provided text: {INPUT}",0.303,0.379 ± 0.226,0.719 ± 0.078,0.327 ± 0.093
0,TaskInstruction StyleConstraint Input,MMAS,4,Write a concise overview of the text. Use formal and clear language. The document below is: {INPUT},0.418,Produce a concise summary of the content. Use a clear neutral style. The provided text: {INPUT},0.349,0.402 ± 0.222,0.649 ± 0.103,0.291 ± 0.099
1,TaskInstruction StyleConstraint Input,MMAS,4,Provide a summary of the text below. Use clear and objective wording. The text provided below: {INPUT},0.423,Create a brief summary of the following document. Maintain a professional tone. The following text: {INPUT},0.360,0.408 ± 0.244,0.649 ± 0.101,0.298 ± 0.103
2,TaskInstruction StyleConstraint Input,MMAS,4,Write a summary of the content below. Use straightforward and neutral wording. The following content: {INPUT},0.434,Condense the text below into a summary. Maintain a professional tone. The provided text: {INPUT},0.387,0.430 ± 0.267,0.654 ± 0.099,0.294 ± 0.117
3,TaskInstruction StyleConstraint Input,MMAS,4,Reduce the following text to a summary. Use clear neutral phrasing. The content below: {INPUT},0.430,Write a concise overview of the text. Maintain a professional tone. The input text: {INPUT},0.400,0.406 ± 0.235,0.662 ± 0.107,0.316 ± 0.105
0,TaskInstruction StyleConstraint Input,BWAS,4,Write a concise overview of the text. Use formal and clear language. The document below is: {INPUT},0.426,"Generate a brief overview of the following text. Use a clear, concise, and neutral style. The provided text: {INPUT}",0.344,0.378 ± 0.235,0.691 ± 0.075,0.329 ± 0.105
1,TaskInstruction StyleConstraint Input,BWAS,4,Generate a brief overview of the following text. Use formal and clear language. The content below: {INPUT},0.437,Create a brief summary of the following document. Maintain a professional tone. The following text: {INPUT},0.359,0.388 ± 0.224,0.705 ± 0.063,0.340 ± 0.113
2,TaskInstruction StyleConstraint Input,BWAS,4,Create a concise textual summary. Maintain a clear and neutral tone. The following document: {INPUT},0.426,Write a concise overview of the text. Use formal and clear language. The following passage: {INPUT},0.340,0.383 ± 0.238,0.684 ± 0.111,0.326 ± 0.144
3,TaskInstruction StyleConstraint Input,BWAS,4,Create a summary of the text below. Use a neutral informative style. The document provided: {INPUT},0.426,Create a summary of the text below. Maintain a professional tone. The provided text: {INPUT},0.396,0.402 ± 0.239,0.668 ± 0.104,0.306 ± 0.105
